country,date,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,critical_cases
USA,2023-01-01,616,616,20,20,138,138,458,11
USA,2023-01-02,1037,421,35,15,396,258,606,27
USA,2023-01-03,2016,979,60,25,1059,663,897,20
USA,2023-01-04,2965,949,89,29,1638,579,1238,35
USA,2023-01-05,3772,807,98,9,1711,73,1963,41
USA,2023-01-06,4691,919,101,3,2441,730,2149,50
USA,2023-01-07,5567,876,104,3,2835,394,2628,27
USA,2023-01-08,5996,429,111,7,2896,61,2989,85
USA,2023-01-09,6861,865,145,34,2984,88,3732,33
USA,2023-01-10,7506,645,153,8,3020,36,4333,0
USA,2023-01-11,7965,459,155,2,3217,197,4593,126
USA,2023-01-12,8914,949,171,16,3663,446,5080,136
USA,2023-01-13,9103,189,172,1,3775,112,5156,168
USA,2023-01-14,9987,884,208,36,3951,176,5828,25
USA,2023-01-15,10310,323,215,7,4065,114,6030,286
USA,2023-01-16,10339,29,215,0,4082,17,6042,289
USA,2023-01-17,10485,146,216,1,4175,93,6094,2
USA,2023-01-18,10554,69,217,1,4187,12,6150,44
USA,2023-01-19,11439,885,219,2,4810,623,6410,91
USA,2023-01-20,11780,341,226,7,4849,39,6705,150
USA,2023-01-21,12194,414,243,17,5047,198,6904,274
USA,2023-01-22,13054,860,262,19,5480,433,7312,297
USA,2023-01-23,13147,93,264,2,5501,21,7382,201
USA,2023-01-24,14004,857,296,32,5830,329,7878,28
USA,2023-01-25,14213,209,305,9,5958,128,7950,63
USA,2023-01-26,14229,16,305,0,5968,10,7956,164
USA,2023-01-27,14835,606,329,24,6084,116,8422,191
USA,2023-01-28,15030,195,332,3,6220,136,8478,347
USA,2023-01-29,15123,93,335,3,6252,32,8536,147
USA,2023-01-30,15707,584,342,7,6339,87,9026,13
USA,2023-01-31,16021,314,343,1,6459,120,9219,372
USA,2023-02-01,16972,951,343,0,7174,715,9455,220
USA,2023-02-02,17904,932,368,25,7600,426,9936,270
USA,2023-02-03,18374,470,388,20,7924,324,10062,22
USA,2023-02-04,18601,227,398,10,8007,83,10196,135
USA,2023-02-05,19569,968,411,13,8524,517,10634,256
USA,2023-02-06,19705,136,416,5,8535,11,10754,4
USA,2023-02-07,20128,423,429,13,8817,282,10882,433
USA,2023-02-08,20347,219,432,3,8922,105,10993,373
USA,2023-02-09,20637,290,435,3,9080,158,11122,437
USA,2023-02-10,21463,826,453,18,9529,449,11481,326
USA,2023-02-11,21953,490,474,21,9833,304,11646,94
USA,2023-02-12,22012,59,474,0,9859,26,11679,163
USA,2023-02-13,22582,570,491,17,9965,106,12126,201
USA,2023-02-14,22882,300,504,13,10086,121,12292,550
USA,2023-02-15,23561,679,512,8,10099,13,12950,534
USA,2023-02-16,24065,504,527,15,10363,264,13175,209
USA,2023-02-17,24520,455,547,20,10423,60,13550,400
USA,2023-02-18,24576,56,547,0,10446,23,13583,280
USA,2023-02-19,24580,4,547,0,10446,0,13587,305
USA,2023-02-20,24923,343,548,1,10631,185,13744,407
USA,2023-02-21,25334,411,549,1,10940,309,13845,631
USA,2023-02-22,26281,947,571,22,11442,502,14268,7
USA,2023-02-23,26898,617,588,17,11579,137,14731,694
USA,2023-02-24,27794,896,607,19,11955,376,15232,721
USA,2023-02-25,27942,148,612,5,12067,112,15263,259
USA,2023-02-26,28068,126,614,2,12132,65,15322,532
USA,2023-02-27,28872,804,618,4,12244,112,16010,650
USA,2023-02-28,29109,237,626,8,12335,91,16148,555
USA,2023-03-01,29172,63,626,0,12341,6,16205,265
USA,2023-03-02,29616,444,641,15,12680,339,16295,274
USA,2023-03-03,29985,369,651,10,12906,226,16428,225
USA,2023-03-04,30924,939,654,3,13134,228,17136,826
USA,2023-03-05,31821,897,654,0,13158,24,18009,698
USA,2023-03-06,32113,292,657,3,13227,69,18229,134
USA,2023-03-07,32116,3,657,0,13227,0,18232,889
USA,2023-03-08,32796,680,690,33,13511,284,18595,836
USA,2023-03-09,32822,26,690,0,13511,0,18621,248
USA,2023-03-10,33187,365,699,9,13708,197,18780,929
USA,2023-03-11,33834,647,728,29,13780,72,19326,246
USA,2023-03-12,34686,852,735,7,13993,213,19958,475
USA,2023-03-13,35306,620,738,3,14095,102,20473,852
USA,2023-03-14,35633,327,741,3,14318,223,20574,256
USA,2023-03-15,36278,645,768,27,14425,107,21085,926
USA,2023-03-16,37247,969,787,19,14944,519,21516,0
USA,2023-03-17,37607,360,793,6,15033,89,21781,499
USA,2023-03-18,38345,738,816,23,15129,96,22400,851
USA,2023-03-19,38627,282,816,0,15244,115,22567,454
USA,2023-03-20,39492,865,857,41,15376,132,23259,93
USA,2023-03-21,39839,347,860,3,15570,194,23409,404
USA,2023-03-22,40780,941,875,15,15945,375,23960,702
USA,2023-03-23,41296,516,892,17,16150,205,24254,738
USA,2023-03-24,41715,419,901,9,16368,218,24446,1046
USA,2023-03-25,42175,460,916,15,16722,354,24537,1075
USA,2023-03-26,43173,998,962,46,17442,720,24769,815
USA,2023-03-27,43277,104,962,0,17452,10,24863,327
USA,2023-03-28,43883,606,968,6,17625,173,25290,169
USA,2023-03-29,44049,166,973,5,17707,82,25369,1244
USA,2023-03-30,44882,833,975,2,17821,114,26086,860
USA,2023-03-31,45216,334,980,5,18040,219,26196,1270
India,2023-01-01,100,100,2,2,46,46,52,1
India,2023-01-02,726,626,3,1,314,268,409,0
India,2023-01-03,1471,745,19,16,380,66,1072,8
India,2023-01-04,1596,125,21,2,470,90,1105,27
India,2023-01-05,2292,696,22,1,918,448,1352,34
India,2023-01-06,3267,975,25,3,1618,700,1624,37
India,2023-01-07,3438,171,28,3,1706,88,1704,70
India,2023-01-08,4098,660,34,6,2085,379,1979,69
India,2023-01-09,4207,109,35,1,2139,54,2033,77
India,2023-01-10,5124,917,66,31,2732,593,2326,35
India,2023-01-11,5361,237,69,3,2868,136,2424,25
India,2023-01-12,5382,21,69,0,2881,13,2432,101
India,2023-01-13,6364,982,85,16,3034,153,3245,119
India,2023-01-14,7041,677,86,1,3423,389,3532,140
India,2023-01-15,7387,346,96,10,3501,78,3790,62
India,2023-01-16,7971,584,103,7,3802,301,4066,133
India,2023-01-17,8530,559,113,10,3940,138,4477,57
India,2023-01-18,9005,475,116,3,4065,125,4824,206
India,2023-01-19,9855,850,121,5,4082,17,5652,197
India,2023-01-20,10302,447,124,3,4407,325,5771,164
India,2023-01-21,10872,570,141,17,4846,439,5885,152
